,size (PNG),gzip size,JPG_95 size,JPG_75 size,JPG_50 size,JPG_25 size
0,41544,38791,21686,21616,16974,13361.0
1,48185,45457,22314,22288,17296,13590.0
2,46612,44047,21691,21677,17177,13507.0
3,50649,48038,22113,22066,16843,13289.0
4,48512,45941,19865,19857,15813,12507.0
5,56568,54366,25999,25903,19142,14652.0
6,55113,53073,25617,25502,19074,14645.0
7,48645,46067,23557,23515,18018,13899.0
8,50634,48147,22479,22428,17141,13389.0
9,55827,53778,25224,25125,19166,14726.0
10,50819,48195,24621,24535,18540,14315.0
11,54160,52084,23750,23671,17826,13799.0
12,53891,51801,24520,24449,18448,14105.0
13,51805,49409,22784,22737,17678,13815.0
14,49052,46572,20698,20666,16133,12726.0
15,51046,48568,22486,22416,17104,13397.0
16,51068,48674,23877,23833,18194,14075.0
17,48777,46210,20555,20541,16083,12702.0
18,50303,47539,22540,22474,17235,13458.0
19,49300,46692,23292,23221,17972,13945.0
20,48969,46455,23506,23394,17841,13892.0
21,49865,47215,21665,21611,16666,13088.0
22,50629,48101,23744,23690,18104,14013.0
23,50295,47669,23997,23923,18391,14200.0
24,49032,46288,20829,20809,16245,12758.0
25,49771,47176,22853,22801,17787,13805.0
26,49485,46934,23520,23376,17878,13917.0
27,51523,49017,21438,21395,16649,13083.0
28,50601,47869,23509,23414,17921,13910.0
29,50475,47858,23919,23860,18220,14069.0
30,48926,46246,21335,21232,16418,12928.0
31,46903,44161,22560,22511,17426,13425.0
32,47363,44809,22049,22040,16887,13251.0
33,50005,47472,22511,22473,17135,13383.0
34,46079,43448,19848,19809,15690,12428.0
35,47234,44650,22286,22229,17016,13355.0
36,44707,42000,20476,20435,16171,12660.0
37,45048,42355,22086,21986,16908,13313.0
38,43042,40355,21576,21520,16849,13070.0
39,44572,41893,21762,21676,16738,13175.0
40,42906,40277,20758,20737,16389,12870.0
41,44408,41715,22171,22074,17025,13453.0
42,41774,39116,20431,20408,16158,12694.0
43,42559,39771,21258,21167,16474,13045.0
44,42169,39538,20799,20777,16361,12865.0
45,41949,39234,20968,20913,16321,12961.0
46,42165,39425,19273,19253,15443,12311.0
47,41679,38836,20847,20772,16291,12874.0
48,41690,38877,18851,18826,15181,12142.0
49,40691,38015,19531,19484,15474,12361.0
50,41498,38853,18418,18418,14940,11998.0
51,40393,37710,19293,19298,15343,12286.0
52,41070,38382,18505,18480,14934,12016.0
53,39965,37280,18873,18851,15126,12152.0
54,40760,38033,18668,18633,15010,12086.0
55,40204,37523,18367,18346,14839,11928.0
56,40681,37952,18875,18831,15063,12166.0
57,40086,37395,18138,18118,14718,11902.0
58,40502,37704,19042,18995,15173,12209.0
59,39969,37286,17995,17992,14621,11855.0
60,40239,37477,18961,18928,15167,12198.0
61,40228,37476,17859,17837,14543,11817.0
62,40103,37261,18860,18829,15136,12157.0
63,40249,37530,17932,17922,14611,11849.0
64,40196,37481,18757,18706,15028,12125.0
65,39874,37135,18101,18070,14710,11901.0
66,39861,37089,18562,18532,14949,12039.0
67,39822,37116,18092,18065,14689,11897.0
68,39846,37167,18389,18394,14859,11987.0
69,39959,37113,18202,18203,14742,11915.0
70,40015,37158,18329,18295,14814,11923.0
71,40168,37385,18226,18205,14719,11909.0
72,40001,37234,18172,18136,14719,11899.0
73,40086,37303,18217,18193,14725,11908.0
74,40149,37463,18117,18062,14671,11864.0
75,39952,37258,18183,18163,14722,11893.0
76,39887,37223,18072,18025,14628,11871.0
77,39950,37255,18193,18138,14701,11898.0
78,40003,37359,18035,17999,14645,11864.0
79,39850,37123,18069,18042,14652,11874.0
80,40065,37440,17993,17967,14621,11839.0
81,39917,37260,18040,18034,14665,11870.0
82,39770,37013,17972,17965,14644,11840.0
83,39813,37101,17924,17917,14611,11857.0
